toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US
<k_toolKit.Toolkit object at 0x1030259d0>,20_04_19__18_18_40_117973,0,BTC,USDT,Binance,HitBtc,0.0520307487517508,370.99042254,0.069791266136765,497.32,7141.13,7137.57,0.00075,0.0007,7135.7741525,7142.569798859201,-6.795646359200873,71.35774152500001,71.425697988592,-0.06795646359200873,0.14721705881837371,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1030259d0>,20_04_19__18_18_45_626199,1,BTC,USDT,Kucoin,HitBtc,0.0253950439298579,181.06031445,0.069791266136765,497.32,7139.8,7138.17,0.0008,0.0007,7134.08816,7143.170219153408,-9.0820591534075,71.3408816,71.43170219153409,-0.090820591534075,0.14721705881837371,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1030259d0>,20_04_19__18_18_48_952974,2,BTC,USDT,Kucoin,HitBtc,0.0253950439298579,181.06031445,0.069791266136765,497.32,7139.4,7136.07,0.0008,0.0007,7133.68848,7141.068748123686,-7.380268123686619,71.33688479999999,71.41068748123686,-0.07380268123686619,0.14721705881837371,1049.37073699,False,threshold
