toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x10796b9d0>,20_04_19__22_49_20_344584,0,BTC,USDT,Kucoin,HitBtc,0.0253130310937385,181.06031445,0.0695526669707903,497.32,7154.9,7152.45,0.0008,0.0007,7149.176079999999,7157.460222155509,-8.284142155509471,71.4917608,71.57460222155508,-0.08284142155509472,0.1467229154602342,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10796b9d0>,20_04_19__22_49_25_761501,1,BTC,USDT,Binance,HitBtc,0.0518572173957054,370.99042254,0.0695526669707903,497.32,7154.99,7152.31,0.00075,0.0007,7149.6237575,7157.320124086861,-7.696366586861586,71.496237575,71.57320124086861,-0.07696366586861586,0.1467229154602342,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10796b9d0>,20_04_19__22_49_29_156869,2,BTC,USDT,Kucoin,HitBtc,0.0253130310937385,181.06031445,0.0695526669707903,497.32,7154.9,7152.41,0.0008,0.0007,7149.176079999999,7157.420194135895,-8.24411413589587,71.4917608,71.57420194135895,-0.0824411413589587,0.1467229154602342,1049.37073699,False,threshold
