toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x10b3b99d0>,20_04_19__22_46_40_919846,0,BTC,USDT,Kucoin,HitBtc,0.0253130310937385,181.06031445,0.0695526669707903,497.32,7150.5,7146.7,0.0008,0.0007,7144.7796,7151.706194336035,-6.926594336035123,71.447796,71.51706194336035,-0.06926594336035123,0.1467229154602342,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b3b99d0>,20_04_19__22_46_47_154620,1,BTC,USDT,Kucoin,HitBtc,0.0253130310937385,181.06031445,0.0695526669707903,497.32,7150.5,7147.26,0.0008,0.0007,7144.7796,7152.266586610628,-7.486986610628264,71.447796,71.52266586610628,-0.07486986610628264,0.1467229154602342,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b3b99d0>,20_04_19__22_46_50_564511,2,BTC,USDT,Kucoin,HitBtc,0.0253130310937385,181.06031445,0.0695526669707903,497.32,7150.5,7146.67,0.0008,0.0007,7144.7796,7151.676173321325,-6.896573321325377,71.447796,71.51676173321326,-0.06896573321325378,0.1467229154602342,1049.37073699,False,threshold
