toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x1069409d0>,20_04_20__07_48_19_586465,0,BTC,USDT,HitBtc,Binance,0.0695231085589416,497.32,0.0518603344930495,370.99042254,7152.69,7152.62,0.0007,0.00075,7147.683117,7157.988491368526,-10.305374368526827,71.47683117,71.57988491368526,-0.10305374368526828,-0.10305374368526828,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1069409d0>,20_04_20__07_48_25_421765,1,BTC,USDT,Kucoin,Binance,0.0253165704620273,181.06031445,0.0518603344930495,370.99042254,7152.6,7152.47,0.0008,0.00075,7146.87792,7157.8383787840885,-10.960458784088587,71.4687792,71.57838378784089,-0.10960458784088588,-0.10305374368526828,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1069409d0>,20_04_20__07_48_28_785530,2,BTC,USDT,Kucoin,Binance,0.0253165704620273,181.06031445,0.0518603344930495,370.99042254,7152.6,7152.34,0.0008,0.00075,7146.87792,7157.708281210908,-10.83036121090845,71.4687792,71.57708281210908,-0.1083036121090845,-0.10305374368526828,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1069409d0>,20_04_20__07_48_32_163131,3,BTC,USDT,Kucoin,Binance,0.0253165704620273,181.06031445,0.0518603344930495,370.99042254,7152.4,7151.59,0.0008,0.00075,7146.67808,7156.957718288717,-10.279638288717251,71.4667808,71.56957718288717,-0.10279638288717252,-0.10279638288717252,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1069409d0>,20_04_20__07_48_35_641315,4,BTC,USDT,HitBtc,Binance,0.0695231085589416,497.32,0.0518603344930495,370.99042254,7152.23,7150.5,0.0007,0.00075,7147.223438999999,7155.866900175131,-8.64346117513196,71.47223439,71.55866900175131,-0.08643461175131961,-0.08643461175131961,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1069409d0>,20_04_20__07_48_38_931691,5,BTC,USDT,HitBtc,Binance,0.0695231085589416,497.32,0.0518603344930495,370.99042254,7152.23,7150.32,0.0007,0.00075,7147.223438999999,7155.686765073805,-8.463326073805547,71.47223439,71.55686765073806,-0.08463326073805547,-0.08463326073805547,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1069409d0>,20_04_20__07_48_42_401857,6,BTC,USDT,HitBtc,Binance,0.0695231085589416,497.32,0.0518603344930495,370.99042254,7152.23,7149.76,0.0007,0.00075,7147.223438999999,7155.12634475857,-7.902905758570341,71.47223439,71.5512634475857,-0.07902905758570342,-0.07902905758570342,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1069409d0>,20_04_20__07_48_45_783536,7,BTC,USDT,HitBtc,Binance,0.0695231085589416,497.32,0.0518603344930495,370.99042254,7150.25,7149.62,0.0007,0.00075,7145.244825,7154.98623967976,-9.741414679760055,71.45244825,71.5498623967976,-0.09741414679760055,-0.07902905758570342,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1069409d0>,20_04_20__07_48_49_156972,8,BTC,USDT,Binance,Kucoin,0.0518603344930495,370.99042254,0.0253165704620273,181.06031445,7151.09,7150.3,0.00075,0.0008,7145.7266825,7156.024819855885,-10.298137355885046,71.457266825,71.56024819855885,-0.10298137355885047,-0.07902905758570342,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1069409d0>,20_04_20__07_48_52_444441,9,BTC,USDT,HitBtc,Kucoin,0.0695231085589416,497.32,0.0253165704620273,181.06031445,7152.42,7150.3,0.0007,0.0008,7147.4133059999995,7156.024819855885,-8.611513855885278,71.47413306,71.56024819855885,-0.08611513855885278,-0.07902905758570342,0.1467000135140184,1049.37073699,False,threshold
