toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x104acb990>,20_04_20__00_02_57_708579,0,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7085.37,0.00075,0.0007,7095.6242875,7090.3332332632845,5.291054236715354,70.956242875,70.90333233263284,0.05291054236715354,0.05291054236715354,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x104acb990>,20_04_20__00_03_01_110892,1,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7083.99,0.00075,0.0007,7095.6242875,7088.952266586611,6.672020913389133,70.956242875,70.88952266586611,0.06672020913389133,0.06672020913389133,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x104acb990>,20_04_20__00_03_01_623793,2,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7083.82,0.00075,0.0007,7095.6242875,7088.782147503252,6.842139996747392,70.956242875,70.88782147503252,0.06842139996747391,0.06842139996747391,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x104acb990>,20_04_20__00_03_02_276838,3,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7082.99,0.00075,0.0007,7095.6242875,7087.951566096267,7.672721403732794,70.956242875,70.87951566096267,0.07672721403732795,0.07672721403732795,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x104acb990>,20_04_20__00_03_02_686933,4,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7080.96,0.00075,0.0007,7095.6242875,7085.920144100871,9.704143399128952,70.956242875,70.85920144100871,0.09704143399128952,0.09704143399128952,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x104acb990>,20_04_20__00_03_03_195730,5,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7081.11,0.00075,0.0007,7095.6242875,7086.070249174422,9.554038325577494,70.956242875,70.86070249174422,0.09554038325577495,0.09704143399128952,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x104acb990>,20_04_20__00_03_03_541904,6,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7080.96,0.00075,0.0007,7095.6242875,7085.920144100871,9.704143399128952,70.956242875,70.85920144100871,0.09704143399128952,0.09704143399128952,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x104acb990>,20_04_20__00_03_03_916857,7,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7081.06,0.00075,0.0007,7095.6242875,7086.020214149906,9.60407335009404,70.956242875,70.86020214149906,0.0960407335009404,0.09704143399128952,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x104acb990>,20_04_20__00_03_04_427037,8,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7081.13,0.00075,0.0007,7095.6242875,7086.090263184229,9.534024315770694,70.956242875,70.8609026318423,0.09534024315770694,0.09704143399128952,0.1478606583034486,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x104acb990>,20_04_20__00_03_04_834794,9,BTC,USDT,Binance,HitBtc,0.0522587229426043,370.99042254,0.0700992254443019,497.32,7100.95,7081.82,0.00075,0.0007,7095.6242875,7086.780746522566,8.843540977433804,70.956242875,70.86780746522567,0.08843540977433804,0.09704143399128952,0.1478606583034486,1049.37073699,False,threshold
