toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x10b5c99d0>,20_04_19__23_49_07_102419,0,BTC,USDT,Kucoin,Binance,0.0254103690937296,181.06031445,0.0520990669729286,370.99042254,7112.9,7111.42,0.0008,0.00075,7107.209679999999,7116.757568176133,-9.54788817613371,71.0720968,71.16757568176133,-0.0954788817613371,-0.0954788817613371,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b5c99d0>,20_04_19__23_49_09_325971,1,BTC,USDT,Kucoin,Binance,0.0254103690937296,181.06031445,0.0520990669729286,370.99042254,7112.9,7111.38,0.0008,0.00075,7107.209679999999,7116.717538153615,-9.507858153616326,71.0720968,71.16717538153615,-0.09507858153616326,-0.09507858153616326,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b5c99d0>,20_04_19__23_49_09_674466,2,BTC,USDT,Kucoin,Binance,0.0254103690937296,181.06031445,0.0520990669729286,370.99042254,7112.2,7111.33,0.0008,0.00075,7106.51024,7116.667500625469,-10.157260625469462,71.0651024,71.16667500625469,-0.10157260625469462,-0.09507858153616326,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b5c99d0>,20_04_19__23_49_10_070599,3,BTC,USDT,Kucoin,Binance,0.0254103690937296,181.06031445,0.0520990669729286,370.99042254,7112.2,7111.44,0.0008,0.00075,7106.51024,7116.7775831873905,-10.267343187390907,71.0651024,71.16777583187391,-0.10267343187390907,-0.09507858153616326,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b5c99d0>,20_04_19__23_49_10_482562,4,BTC,USDT,Kucoin,Binance,0.0254103690937296,181.06031445,0.0520990669729286,370.99042254,7112.2,7111.92,0.0008,0.00075,7106.51024,7117.257943457594,-10.74770345759407,71.0651024,71.17257943457594,-0.10747703457594071,-0.09507858153616326,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b5c99d0>,20_04_19__23_49_10_845091,5,BTC,USDT,Kucoin,Binance,0.0254103690937296,181.06031445,0.0520990669729286,370.99042254,7112.2,7111.98,0.0008,0.00075,7106.51024,7117.317988491368,-10.80774849136833,71.0651024,71.17317988491368,-0.1080774849136833,-0.09507858153616326,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b5c99d0>,20_04_19__23_49_11_138031,6,BTC,USDT,Kucoin,HitBtc,0.0254103690937296,181.06031445,0.0699174469287993,497.32,7112.2,7111.09,0.0008,0.0007,7106.51024,7116.071249874913,-9.561009874912997,71.0651024,71.16071249874913,-0.09561009874912997,-0.09507858153616326,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b5c99d0>,20_04_19__23_49_11_500891,7,BTC,USDT,Kucoin,HitBtc,0.0254103690937296,181.06031445,0.0699174469287993,497.32,7112.2,7110.98,0.0008,0.0007,7106.51024,7115.961172820975,-9.45093282097514,71.0651024,71.15961172820975,-0.0945093282097514,-0.0945093282097514,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b5c99d0>,20_04_19__23_49_11_807884,8,BTC,USDT,Kucoin,HitBtc,0.0254103690937296,181.06031445,0.0699174469287993,497.32,7112.2,7110.98,0.0008,0.0007,7106.51024,7115.961172820975,-9.45093282097514,71.0651024,71.15961172820975,-0.0945093282097514,-0.0945093282097514,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10b5c99d0>,20_04_19__23_49_12_219507,9,BTC,USDT,Kucoin,HitBtc,0.0254103690937296,181.06031445,0.0699174469287993,497.32,7112.2,7110.96,0.0008,0.0007,7106.51024,7115.941158811168,-9.43091881116834,71.0651024,71.15941158811168,-0.0943091881116834,-0.0943091881116834,0.14742688299545748,1049.37073699,False,threshold
