toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x10857e9d0>,20_04_19__22_34_40_903896,0,BTC,USDT,Binance,Kucoin,0.0518964621422575,370.99042254,0.0253293203873478,181.06031445,7153.35,7152.7,0.00075,0.0008,7147.9849875,7158.426741393115,-10.441753893114765,71.479849875,71.58426741393114,-0.10441753893114765,0.14679533044914678,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10857e9d0>,20_04_19__22_34_47_065201,1,BTC,USDT,Binance,Kucoin,0.0518964621422575,370.99042254,0.0253293203873478,181.06031445,7153.37,7152.7,0.00075,0.0008,7148.0049725,7158.426741393115,-10.421768893114859,71.480049725,71.58426741393114,-0.10421768893114859,0.14679533044914678,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10857e9d0>,20_04_19__22_34_50_477665,2,BTC,USDT,Binance,HitBtc,0.0518964621422575,370.99042254,0.0695695479195415,497.32,7152.86,7152.56,0.00075,0.0007,7147.495354999999,7157.5702992094475,-10.074944209448404,71.47495355,71.57570299209448,-0.10074944209448404,0.14679533044914678,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10857e9d0>,20_04_19__22_34_53_813218,3,BTC,USDT,Binance,HitBtc,0.0518964621422575,370.99042254,0.0695695479195415,497.32,7153.11,7152.21,0.00075,0.0007,7147.745167499999,7157.220054037827,-9.474886537827842,71.477451675,71.57220054037828,-0.09474886537827842,0.14679533044914678,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10857e9d0>,20_04_19__22_34_57_130160,4,BTC,USDT,Kucoin,HitBtc,0.0253293203873478,181.06031445,0.0695695479195415,497.32,7152.6,7151.76,0.0008,0.0007,7146.87792,7156.769738817173,-9.891818817172862,71.4687792,71.56769738817172,-0.09891818817172862,0.14679533044914678,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10857e9d0>,20_04_19__22_35_00_433382,5,BTC,USDT,Kucoin,HitBtc,0.0253293203873478,181.06031445,0.0695695479195415,497.32,7152.6,7151.67,0.0008,0.0007,7146.87792,7156.679675773042,-9.801755773041805,71.4687792,71.56679675773042,-0.09801755773041805,0.14679533044914678,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10857e9d0>,20_04_19__22_35_03_883404,6,BTC,USDT,Kucoin,HitBtc,0.0253293203873478,181.06031445,0.0695695479195415,497.32,7152.6,7151.94,0.0008,0.0007,7146.87792,7156.949864905434,-10.071944905434066,71.4687792,71.56949864905434,-0.10071944905434066,0.14679533044914678,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10857e9d0>,20_04_19__22_35_07_198131,7,BTC,USDT,Kucoin,HitBtc,0.0253293203873478,181.06031445,0.0695695479195415,497.32,7152.6,7151.95,0.0008,0.0007,7146.87792,7156.959871910337,-10.081951910337011,71.4687792,71.56959871910337,-0.10081951910337011,0.14679533044914678,1049.37073699,False,threshold
