toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x1060da9d0>,20_04_19__23_32_07_393515,0,BTC,USDT,Binance,HitBtc,0.0519386747372279,370.99042254,0.0696291100446755,497.32,7141.17,7138.0,0.00075,0.0007,7135.8141225,7143.0001000700495,-7.185977570049545,71.358141225,71.4300010007005,-0.07185977570049545,0.14691696393234088,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1060da9d0>,20_04_19__23_32_10_256666,1,BTC,USDT,Binance,HitBtc,0.0519386747372279,370.99042254,0.0696291100446755,497.32,7141.17,7138.0,0.00075,0.0007,7135.8141225,7143.0001000700495,-7.185977570049545,71.358141225,71.4300010007005,-0.07185977570049545,0.14691696393234088,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1060da9d0>,20_04_19__23_32_10_571514,2,BTC,USDT,Binance,HitBtc,0.0519386747372279,370.99042254,0.0696291100446755,497.32,7141.17,7138.0,0.00075,0.0007,7135.8141225,7143.0001000700495,-7.185977570049545,71.358141225,71.4300010007005,-0.07185977570049545,0.14691696393234088,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1060da9d0>,20_04_19__23_32_10_986085,3,BTC,USDT,Binance,HitBtc,0.0519386747372279,370.99042254,0.0696291100446755,497.32,7141.17,7138.0,0.00075,0.0007,7135.8141225,7143.0001000700495,-7.185977570049545,71.358141225,71.4300010007005,-0.07185977570049545,0.14691696393234088,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1060da9d0>,20_04_19__23_32_11_392248,4,BTC,USDT,Binance,HitBtc,0.0519386747372279,370.99042254,0.0696291100446755,497.32,7141.17,7138.0,0.00075,0.0007,7135.8141225,7143.0001000700495,-7.185977570049545,71.358141225,71.4300010007005,-0.07185977570049545,0.14691696393234088,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1060da9d0>,20_04_19__23_32_11_799452,5,BTC,USDT,Binance,HitBtc,0.0519386747372279,370.99042254,0.0696291100446755,497.32,7141.14,7138.0,0.00075,0.0007,7135.7841450000005,7143.0001000700495,-7.215955070048949,71.35784145000001,71.4300010007005,-0.07215955070048949,0.14691696393234088,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1060da9d0>,20_04_19__23_32_12_218412,6,BTC,USDT,Binance,HitBtc,0.0519386747372279,370.99042254,0.0696291100446755,497.32,7141.14,7138.0,0.00075,0.0007,7135.7841450000005,7143.0001000700495,-7.215955070048949,71.35784145000001,71.4300010007005,-0.07215955070048949,0.14691696393234088,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1060da9d0>,20_04_19__23_32_12_723422,7,BTC,USDT,Binance,HitBtc,0.0519386747372279,370.99042254,0.0696291100446755,497.32,7141.11,7137.99,0.00075,0.0007,7135.754167499999,7142.990093065146,-7.235925565146317,71.357541675,71.42990093065146,-0.07235925565146317,0.14691696393234088,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1060da9d0>,20_04_19__23_32_13_141201,8,BTC,USDT,Kucoin,HitBtc,0.0253491791504375,181.06031445,0.0696291100446755,497.32,7139.6,7137.39,0.0008,0.0007,7133.88832,7142.38967277094,-8.501352770939775,71.3388832,71.4238967277094,-0.08501352770939775,0.14691696393234088,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x1060da9d0>,20_04_19__23_32_13_451885,9,BTC,USDT,Kucoin,HitBtc,0.0253491791504375,181.06031445,0.0696291100446755,497.32,7139.6,7136.81,0.0008,0.0007,7133.88832,7141.809266486542,-7.920946486541652,71.3388832,71.41809266486541,-0.07920946486541652,0.14691696393234088,1049.37073699,False,threshold
