toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x111452410>,20_04_20__07_50_03_648130,0,BTC,USDT,HitBtc,Binance,0.0695231085589416,497.32,0.0518603344930495,370.99042254,7145.98,7144.98,0.0007,0.00075,7140.977813999999,7150.3427570678,-9.364943067801505,71.40977813999999,71.503427570678,-0.09364943067801505,-0.09364943067801505,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x111452410>,20_04_20__07_50_06_905301,1,BTC,USDT,HitBtc,Binance,0.0695231085589416,497.32,0.0518603344930495,370.99042254,7145.93,7145.32,0.0007,0.00075,7140.927849,7150.683012259195,-9.755163259194887,71.40927849,71.50683012259195,-0.09755163259194888,-0.09364943067801505,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x111452410>,20_04_20__07_50_07_294086,2,BTC,USDT,HitBtc,Kucoin,0.0695231085589416,497.32,0.0253165704620273,181.06031445,7145.99,7145.9,0.0007,0.0008,7140.9878069999995,7151.62129703763,-10.633490037630509,71.40987806999999,71.5162129703763,-0.1063349003763051,-0.09364943067801505,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x111452410>,20_04_20__07_50_07_661242,3,BTC,USDT,HitBtc,Kucoin,0.0695231085589416,497.32,0.0253165704620273,181.06031445,7146.27,7145.9,0.0007,0.0008,7141.267611,7151.62129703763,-10.353686037629814,71.41267611,71.5162129703763,-0.10353686037629814,-0.09364943067801505,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x111452410>,20_04_20__07_50_08_048849,4,BTC,USDT,HitBtc,Kucoin,0.0695231085589416,497.32,0.0253165704620273,181.06031445,7146.48,7145.9,0.0007,0.0008,7141.477464,7151.62129703763,-10.14383303763043,71.41477464,71.5162129703763,-0.1014383303763043,-0.09364943067801505,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x111452410>,20_04_20__07_50_08_376472,5,BTC,USDT,HitBtc,Kucoin,0.0695231085589416,497.32,0.0253165704620273,181.06031445,7146.42,7145.9,0.0007,0.0008,7141.417506,7151.62129703763,-10.203791037630253,71.41417506,71.5162129703763,-0.10203791037630254,-0.09364943067801505,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x111452410>,20_04_20__07_50_08_695551,6,BTC,USDT,HitBtc,Kucoin,0.0695231085589416,497.32,0.0253165704620273,181.06031445,7146.31,7145.9,0.0007,0.0008,7141.307583,7151.62129703763,-10.313714037630234,71.41307583,71.5162129703763,-0.10313714037630234,-0.09364943067801505,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x111452410>,20_04_20__07_50_09_197820,7,BTC,USDT,HitBtc,Kucoin,0.0695231085589416,497.32,0.0253165704620273,181.06031445,7146.64,7145.9,0.0007,0.0008,7141.637352,7151.62129703763,-9.983945037630292,71.41637352,71.5162129703763,-0.09983945037630293,-0.09364943067801505,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x111452410>,20_04_20__07_50_09_501075,8,BTC,USDT,HitBtc,Kucoin,0.0695231085589416,497.32,0.0253165704620273,181.06031445,7146.78,7145.9,0.0007,0.0008,7141.777254,7151.62129703763,-9.8440430376304,71.41777254,71.5162129703763,-0.098440430376304,-0.09364943067801505,0.1467000135140184,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x111452410>,20_04_20__07_50_09_829088,9,BTC,USDT,HitBtc,Kucoin,0.0695231085589416,497.32,0.0253165704620273,181.06031445,7146.9,7145.9,0.0007,0.0008,7141.897169999999,7151.62129703763,-9.724127037630751,71.4189717,71.5162129703763,-0.09724127037630752,-0.09364943067801505,0.1467000135140184,1049.37073699,False,threshold
