toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRORATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC_IN,TTL_BALANCE_US_IN,proceed,description
<k_toolKit.Toolkit object at 0x7f921580f5c0>,20_04_20__13_15_16_810786,0,BTC,USDT,Kucoin,Binance,0.0461101348349976,323.83839345,0.0528608914912684,371.22644698,7020.5,7020.07,0.0008,0.00075,7014.8836,7025.33900425319,-10.455404253189954,70.148836,70.2533900425319,-0.10455404253189954,-0.10455404253189954,0.1900751425826503,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f921580f5c0>,20_04_20__13_15_18_815135,1,BTC,USDT,Kucoin,Binance,0.0461101348349976,323.83839345,0.0528608914912684,371.22644698,7020.5,7019.39,0.0008,0.00075,7014.8836,7024.658493870404,-9.774893870403503,70.148836,70.24658493870403,-0.09774893870403503,-0.09774893870403503,0.1900751425826503,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f921580f5c0>,20_04_20__13_15_19_099541,2,BTC,USDT,Kucoin,Binance,0.0461101348349976,323.83839345,0.0528608914912684,371.22644698,7020.5,7019.93,0.0008,0.00075,7014.8836,7025.198899174381,-10.315299174380925,70.148836,70.25198899174381,-0.10315299174380925,-0.09774893870403503,0.1900751425826503,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f921580f5c0>,20_04_20__13_15_19_418099,3,BTC,USDT,Kucoin,Binance,0.0461101348349976,323.83839345,0.0528608914912684,371.22644698,7020.5,7019.74,0.0008,0.00075,7014.8836,7025.008756567426,-10.12515656742562,70.148836,70.25008756567426,-0.1012515656742562,-0.09774893870403503,0.1900751425826503,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f921580f5c0>,20_04_20__13_15_19_729648,4,BTC,USDT,Kucoin,Binance,0.0461101348349976,323.83839345,0.0528608914912684,371.22644698,7020.5,7019.67,0.0008,0.00075,7014.8836,7024.938704028022,-10.05510402802156,70.148836,70.24938704028021,-0.10055104028021561,-0.09774893870403503,0.1900751425826503,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f921580f5c0>,20_04_20__13_15_20_026885,5,BTC,USDT,Kucoin,HitBtc,0.0461101348349976,323.83839345,0.0911041162563843,640.27835905,7020.5,7020.15,0.0008,0.0007,7014.8836,7025.067547283098,-10.18394728309795,70.148836,70.25067547283098,-0.10183947283097951,-0.09774893870403503,0.1900751425826503,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f921580f5c0>,20_04_20__13_15_20_337465,6,BTC,USDT,Kucoin,HitBtc,0.0461101348349976,323.83839345,0.0911041162563843,640.27835905,7020.5,7020.15,0.0008,0.0007,7014.8836,7025.067547283098,-10.18394728309795,70.148836,70.25067547283098,-0.10183947283097951,-0.09774893870403503,0.1900751425826503,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f921580f5c0>,20_04_20__13_15_20_622144,7,BTC,USDT,Kucoin,Binance,0.0461101348349976,323.83839345,0.0528608914912684,371.22644698,7020.5,7019.43,0.0008,0.00075,7014.8836,7024.69852389292,-9.814923892919978,70.148836,70.2469852389292,-0.09814923892919979,-0.09774893870403503,0.1900751425826503,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f921580f5c0>,20_04_20__13_15_20_911330,8,BTC,USDT,Kucoin,Binance,0.0461101348349976,323.83839345,0.0528608914912684,371.22644698,7020.5,7020.05,0.0008,0.00075,7014.8836,7025.318989241931,-10.435389241931261,70.148836,70.25318989241931,-0.10435389241931262,-0.09774893870403503,0.1900751425826503,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f921580f5c0>,20_04_20__13_15_21_216313,9,BTC,USDT,Kucoin,Binance,0.0461101348349976,323.83839345,0.0528608914912684,371.22644698,7020.5,7019.9,0.0008,0.00075,7014.8836,7025.168876657493,-10.285276657492432,70.148836,70.25168876657493,-0.10285276657492431,-0.09774893870403503,0.1900751425826503,1335.3431994799998,False,threshold
