toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRORATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC_IN,TTL_BALANCE_US_IN,proceed,description
<k_toolKit.Toolkit object at 0x7f899b09c5c0>,20_04_20__14_07_10_816539,0,BTC,USDT,Kucoin,Binance,0.0460753641935831,323.83839345,0.0528202010041367,371.22644698,7021.0,7020.91,0.0008,0.00075,7015.3832,7026.179634726044,-10.796434726044026,70.15383200000001,70.26179634726044,-0.10796434726044027,-0.10796434726044027,0.1900439065930439,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f899b09c5c0>,20_04_20__14_07_12_702517,1,BTC,USDT,Kucoin,Binance,0.0460753641935831,323.83839345,0.0528202010041367,371.22644698,7021.0,7020.87,0.0008,0.00075,7015.3832,7026.139604703528,-10.75640470352755,70.15383200000001,70.26139604703528,-0.10756404703527551,-0.10756404703527551,0.1900439065930439,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f899b09c5c0>,20_04_20__14_07_13_086988,2,BTC,USDT,Kucoin,Binance,0.0460753641935831,323.83839345,0.0528202010041367,371.22644698,7021.0,7020.84,0.0008,0.00075,7015.3832,7026.10958218664,-10.726382186639967,70.15383200000001,70.2610958218664,-0.10726382186639967,-0.10726382186639967,0.1900439065930439,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f899b09c5c0>,20_04_20__14_07_13_372908,3,BTC,USDT,Kucoin,Binance,0.0460753641935831,323.83839345,0.0528202010041367,371.22644698,7021.0,7020.84,0.0008,0.00075,7015.3832,7026.10958218664,-10.726382186639967,70.15383200000001,70.2610958218664,-0.10726382186639967,-0.10726382186639967,0.1900439065930439,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f899b09c5c0>,20_04_20__14_07_13_664740,4,BTC,USDT,Kucoin,Binance,0.0460753641935831,323.83839345,0.0528202010041367,371.22644698,7021.0,7020.84,0.0008,0.00075,7015.3832,7026.10958218664,-10.726382186639967,70.15383200000001,70.2610958218664,-0.10726382186639967,-0.10726382186639967,0.1900439065930439,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f899b09c5c0>,20_04_20__14_07_13_948282,5,BTC,USDT,Kucoin,HitBtc,0.0460753641935831,323.83839345,0.0911483413953241,640.27835905,7021.0,7020.8,0.0008,0.0007,7015.3832,7025.718002601821,-10.334802601821139,70.15383200000001,70.25718002601822,-0.10334802601821139,-0.10334802601821139,0.1900439065930439,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f899b09c5c0>,20_04_20__14_07_14_238776,6,BTC,USDT,Kucoin,HitBtc,0.0460753641935831,323.83839345,0.0911483413953241,640.27835905,7021.0,7020.67,0.0008,0.0007,7015.3832,7025.587911538077,-10.20471153807648,70.15383200000001,70.25587911538076,-0.10204711538076482,-0.10204711538076482,0.1900439065930439,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f899b09c5c0>,20_04_20__14_07_14_540100,7,BTC,USDT,Kucoin,Binance,0.0460753641935831,323.83839345,0.0528202010041367,371.22644698,7021.0,7020.84,0.0008,0.00075,7015.3832,7026.10958218664,-10.726382186639967,70.15383200000001,70.2610958218664,-0.10726382186639967,-0.10204711538076482,0.1900439065930439,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f899b09c5c0>,20_04_20__14_07_14_840023,8,BTC,USDT,Kucoin,HitBtc,0.0460753641935831,323.83839345,0.0911483413953241,640.27835905,7021.0,7020.78,0.0008,0.0007,7015.3832,7025.697988592015,-10.314788592014338,70.15383200000001,70.25697988592015,-0.10314788592014339,-0.10204711538076482,0.1900439065930439,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f899b09c5c0>,20_04_20__14_07_15_139637,9,BTC,USDT,Kucoin,HitBtc,0.0460753641935831,323.83839345,0.0911483413953241,640.27835905,7021.0,7020.25,0.0008,0.0007,7015.3832,7025.167617332133,-9.784417332132762,70.15383200000001,70.25167617332133,-0.09784417332132762,-0.09784417332132762,0.1900439065930439,1335.3431994799998,False,threshold
