toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRORATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC_IN,TTL_BALANCE_US_IN,proceed,description
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_42_751089,793,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7041.75,7040.98,0.0007,0.00075,7036.820775,7046.264698523893,-9.443923523892408,70.36820775,70.46264698523893,-0.09443923523892409,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_43_040863,794,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7041.75,7040.98,0.0007,0.00075,7036.820775,7046.264698523893,-9.443923523892408,70.36820775,70.46264698523893,-0.09443923523892409,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_43_353261,795,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7041.75,7040.98,0.0007,0.00075,7036.820775,7046.264698523893,-9.443923523892408,70.36820775,70.46264698523893,-0.09443923523892409,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_43_647744,796,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7041.75,7040.98,0.0007,0.00075,7036.820775,7046.264698523893,-9.443923523892408,70.36820775,70.46264698523893,-0.09443923523892409,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_43_942427,797,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7041.75,7040.98,0.0007,0.00075,7036.820775,7046.264698523893,-9.443923523892408,70.36820775,70.46264698523893,-0.09443923523892409,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_44_230187,798,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7041.36,7040.29,0.0007,0.00075,7036.4310479999995,7045.574180635477,-9.143132635477741,70.36431048,70.45574180635478,-0.09143132635477741,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_44_535536,799,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.51,7040.01,0.0007,0.00075,7035.5816429999995,7045.293970477859,-9.712327477859617,70.35581642999999,70.45293970477859,-0.09712327477859617,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_44_822417,800,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.5,7040.01,0.0007,0.00075,7035.57165,7045.293970477859,-9.722320477859284,70.3557165,70.45293970477859,-0.09722320477859285,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_45_112495,801,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.52,7040.01,0.0007,0.00075,7035.591636,7045.293970477859,-9.70233447785904,70.35591636000001,70.45293970477859,-0.0970233447785904,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_45_451573,802,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.52,7040.01,0.0007,0.00075,7035.591636,7045.293970477859,-9.70233447785904,70.35591636000001,70.45293970477859,-0.0970233447785904,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_45_761538,803,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.49,7039.96,0.0007,0.00075,7035.561656999999,7045.243932949713,-9.682275949713585,70.35561657,70.45243932949712,-0.09682275949713585,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_46_060008,804,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.49,7038.73,0.0007,0.00075,7035.561656999999,7044.013009757317,-8.45135275731809,70.35561657,70.44013009757317,-0.08451352757318091,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_46_413317,805,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7040.49,7039.4,0.0007,0.0008,7035.561656999999,7045.036028823059,-9.4743718230593,70.35561657,70.45036028823058,-0.09474371823059301,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_46_737290,806,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7040.49,7039.18,0.0007,0.00075,7035.561656999999,7044.463347510634,-8.90169051063458,70.35561657,70.44463347510634,-0.0890169051063458,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
