toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x10f4dd9d0>,20_04_19__23_14_38_472112,0,BTC,USDT,HitBtc,Kucoin,0.0695909649797112,497.32,0.0253413737809565,181.06031445,7144.0,7142.1,0.0007,0.0008,7138.9992,7147.818254603683,-8.819054603683071,71.389992,71.47818254603683,-0.08819054603683071,0.1468549124275732,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f4dd9d0>,20_04_19__23_14_42_065541,1,BTC,USDT,HitBtc,Kucoin,0.0695909649797112,497.32,0.0253413737809565,181.06031445,7144.0,7142.1,0.0007,0.0008,7138.9992,7147.818254603683,-8.819054603683071,71.389992,71.47818254603683,-0.08819054603683071,0.1468549124275732,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f4dd9d0>,20_04_19__23_14_42_402081,2,BTC,USDT,HitBtc,Kucoin,0.0695909649797112,497.32,0.0253413737809565,181.06031445,7144.0,7142.1,0.0007,0.0008,7138.9992,7147.818254603683,-8.819054603683071,71.389992,71.47818254603683,-0.08819054603683071,0.1468549124275732,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f4dd9d0>,20_04_19__23_14_42_810987,3,BTC,USDT,HitBtc,Kucoin,0.0695909649797112,497.32,0.0253413737809565,181.06031445,7144.0,7142.1,0.0007,0.0008,7138.9992,7147.818254603683,-8.819054603683071,71.389992,71.47818254603683,-0.08819054603683071,0.1468549124275732,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f4dd9d0>,20_04_19__23_14_43_131779,4,BTC,USDT,HitBtc,Kucoin,0.0695909649797112,497.32,0.0253413737809565,181.06031445,7144.0,7142.1,0.0007,0.0008,7138.9992,7147.818254603683,-8.819054603683071,71.389992,71.47818254603683,-0.08819054603683071,0.1468549124275732,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f4dd9d0>,20_04_19__23_14_43_426692,5,BTC,USDT,HitBtc,Kucoin,0.0695909649797112,497.32,0.0253413737809565,181.06031445,7144.0,7142.1,0.0007,0.0008,7138.9992,7147.818254603683,-8.819054603683071,71.389992,71.47818254603683,-0.08819054603683071,0.1468549124275732,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f4dd9d0>,20_04_19__23_14_43_829794,6,BTC,USDT,HitBtc,Kucoin,0.0695909649797112,497.32,0.0253413737809565,181.06031445,7144.0,7142.1,0.0007,0.0008,7138.9992,7147.818254603683,-8.819054603683071,71.389992,71.47818254603683,-0.08819054603683071,0.1468549124275732,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f4dd9d0>,20_04_19__23_14_44_159057,7,BTC,USDT,HitBtc,Kucoin,0.0695909649797112,497.32,0.0253413737809565,181.06031445,7144.0,7142.1,0.0007,0.0008,7138.9992,7147.818254603683,-8.819054603683071,71.389992,71.47818254603683,-0.08819054603683071,0.1468549124275732,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f4dd9d0>,20_04_19__23_14_44_679312,8,BTC,USDT,HitBtc,Kucoin,0.0695909649797112,497.32,0.0253413737809565,181.06031445,7144.0,7141.6,0.0007,0.0008,7138.9992,7147.317854283428,-8.31865428342735,71.389992,71.47317854283428,-0.0831865428342735,0.1468549124275732,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f4dd9d0>,20_04_19__23_14_45_060807,9,BTC,USDT,HitBtc,Kucoin,0.0695909649797112,497.32,0.0253413737809565,181.06031445,7144.0,7141.6,0.0007,0.0008,7138.9992,7147.317854283428,-8.31865428342735,71.389992,71.47317854283428,-0.0831865428342735,0.1468549124275732,1049.37073699,False,threshold
