toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRORATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC_IN,TTL_BALANCE_US_IN,proceed,description
<k_toolKit.Toolkit object at 0x10ad0cc50>,20_04_22__00_55_23_101123,0,BTC,USDT,Kucoin,HitBtc,0.0472549824242351,323.83839345,0.0935752506719481,640.27835905,6832.4,6831.63,0.0008,0.0007,6826.934079999999,6836.415490843591,-9.48141084359213,68.2693408,68.3641549084359,-0.09481410843592131,-0.09481410843592131,0.1933947155452607,1324.4439114799998,False,threshold
<k_toolKit.Toolkit object at 0x10ad0cc50>,20_04_22__00_55_25_300685,1,BTC,USDT,Kucoin,HitBtc,0.0472549824242351,323.83839345,0.0935752506719481,640.27835905,6832.4,6830.57,0.0008,0.0007,6826.934079999999,6835.354748323826,-8.420668323827158,68.2693408,68.35354748323826,-0.08420668323827159,-0.08420668323827159,0.1933947155452607,1324.4439114799998,False,threshold
<k_toolKit.Toolkit object at 0x10ad0cc50>,20_04_22__00_55_25_619549,2,BTC,USDT,Kucoin,HitBtc,0.0472549824242351,323.83839345,0.0935752506719481,640.27835905,6832.4,6829.88,0.0008,0.0007,6826.934079999999,6834.66426498549,-7.730184985491178,68.2693408,68.3466426498549,-0.07730184985491179,-0.07730184985491179,0.1933947155452607,1324.4439114799998,False,threshold
<k_toolKit.Toolkit object at 0x10ad0cc50>,20_04_22__00_55_25_918262,3,BTC,USDT,Kucoin,HitBtc,0.0472549824242351,323.83839345,0.0935752506719481,640.27835905,6832.4,6829.53,0.0008,0.0007,6826.934079999999,6834.31401981387,-7.379939813870806,68.2693408,68.3431401981387,-0.07379939813870806,-0.07379939813870806,0.1933947155452607,1324.4439114799998,False,threshold
<k_toolKit.Toolkit object at 0x10ad0cc50>,20_04_22__00_55_26_523045,4,BTC,USDT,Kucoin,HitBtc,0.0472549824242351,323.83839345,0.0935752506719481,640.27835905,6832.4,6829.73,0.0008,0.0007,6826.934079999999,6834.514159911938,-7.58007991193881,68.2693408,68.34514159911939,-0.0758007991193881,-0.07379939813870806,0.1933947155452607,1324.4439114799998,False,threshold
<k_toolKit.Toolkit object at 0x10ad0cc50>,20_04_22__00_55_26_833346,5,BTC,USDT,Kucoin,HitBtc,0.0472549824242351,323.83839345,0.0935752506719481,640.27835905,6832.4,6829.72,0.0008,0.0007,6826.934079999999,6834.504152907036,-7.570072907036774,68.2693408,68.34504152907036,-0.07570072907036775,-0.07379939813870806,0.1933947155452607,1324.4439114799998,False,threshold
<k_toolKit.Toolkit object at 0x10ad0cc50>,20_04_22__00_55_27_546452,6,BTC,USDT,Kucoin,HitBtc,0.0472549824242351,323.83839345,0.0935752506719481,640.27835905,6832.4,6829.02,0.0008,0.0007,6826.934079999999,6833.803662563795,-6.86958256379603,68.2693408,68.33803662563795,-0.0686958256379603,-0.0686958256379603,0.1933947155452607,1324.4439114799998,False,threshold
<k_toolKit.Toolkit object at 0x10ad0cc50>,20_04_22__00_55_27_838189,7,BTC,USDT,Kucoin,HitBtc,0.0472549824242351,323.83839345,0.0935752506719481,640.27835905,6832.4,6829.15,0.0008,0.0007,6826.934079999999,6833.933753627539,-6.999673627539778,68.2693408,68.3393375362754,-0.06999673627539778,-0.0686958256379603,0.1933947155452607,1324.4439114799998,False,threshold
<k_toolKit.Toolkit object at 0x10ad0cc50>,20_04_22__00_55_28_140494,8,BTC,USDT,Kucoin,HitBtc,0.0472549824242351,323.83839345,0.0935752506719481,640.27835905,6832.4,6829.2,0.0008,0.0007,6826.934079999999,6833.983788652056,-7.049708652057234,68.2693408,68.33983788652057,-0.07049708652057234,-0.0686958256379603,0.1933947155452607,1324.4439114799998,False,threshold
<k_toolKit.Toolkit object at 0x10ad0cc50>,20_04_22__00_55_28_419605,9,BTC,USDT,Kucoin,HitBtc,0.0472549824242351,323.83839345,0.0935752506719481,640.27835905,6832.4,6829.07,0.0008,0.0007,6826.934079999999,6833.853697588312,-6.919617588312576,68.2693408,68.33853697588312,-0.06919617588312577,-0.0686958256379603,0.1933947155452607,1324.4439114799998,False,threshold
