toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRO_RATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC,TTL_BALANCE_US,proceed,description
<k_toolKit.Toolkit object at 0x10f3159d0>,20_04_19__23_56_16_255209,0,BTC,USDT,Binance,HitBtc,0.0520990669729286,370.99042254,0.0699174469287993,497.32,7107.13,7104.04,0.00075,0.0007,7101.7996525,7109.016311417993,-7.2166589179933,71.017996525,71.09016311417993,-0.072166589179933,-0.072166589179933,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f3159d0>,20_04_19__23_56_19_525040,1,BTC,USDT,Binance,HitBtc,0.0520990669729286,370.99042254,0.0699174469287993,497.32,7107.09,7104.07,0.00075,0.0007,7101.7596825,7109.046332432703,-7.286649932702858,71.017596825,71.09046332432703,-0.07286649932702859,-0.072166589179933,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f3159d0>,20_04_19__23_56_19_842294,2,BTC,USDT,Binance,HitBtc,0.0520990669729286,370.99042254,0.0699174469287993,497.32,7107.13,7103.63,0.00075,0.0007,7101.7996525,7108.606024216952,-6.806371716952526,71.017996525,71.08606024216952,-0.06806371716952526,-0.06806371716952526,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f3159d0>,20_04_19__23_56_20_217652,3,BTC,USDT,Binance,HitBtc,0.0520990669729286,370.99042254,0.0699174469287993,497.32,7107.09,7102.81,0.00075,0.0007,7101.7596825,7107.785449814871,-6.025767314870791,71.017596825,71.07785449814871,-0.06025767314870791,-0.06025767314870791,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f3159d0>,20_04_19__23_56_20_661567,4,BTC,USDT,Binance,HitBtc,0.0520990669729286,370.99042254,0.0699174469287993,497.32,7107.09,7103.71,0.00075,0.0007,7101.7596825,7108.68608025618,-6.92639775617954,71.017596825,71.0868608025618,-0.0692639775617954,-0.06025767314870791,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f3159d0>,20_04_19__23_56_21_071161,5,BTC,USDT,Binance,HitBtc,0.0520990669729286,370.99042254,0.0699174469287993,497.32,7107.13,7102.89,0.00075,0.0007,7101.7996525,7107.865505854098,-6.065853354098181,71.017996525,71.07865505854099,-0.06065853354098181,-0.06025767314870791,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f3159d0>,20_04_19__23_56_21_362765,6,BTC,USDT,Binance,HitBtc,0.0520990669729286,370.99042254,0.0699174469287993,497.32,7107.13,7102.81,0.00075,0.0007,7101.7996525,7107.785449814871,-5.985797314870979,71.017996525,71.07785449814871,-0.05985797314870979,-0.05985797314870979,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f3159d0>,20_04_19__23_56_21_693357,7,BTC,USDT,Binance,HitBtc,0.0520990669729286,370.99042254,0.0699174469287993,497.32,7107.09,7103.67,0.00075,0.0007,7101.7596825,7108.646052236566,-6.886369736565939,71.017596825,71.08646052236566,-0.0688636973656594,-0.05985797314870979,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f3159d0>,20_04_19__23_56_22_095284,8,BTC,USDT,Kucoin,HitBtc,0.0254103690937296,181.06031445,0.0699174469287993,497.32,7106.9,7102.51,0.0008,0.0007,7101.21448,7107.485239667768,-6.270759667768289,71.0121448,71.07485239667768,-0.06270759667768289,-0.05985797314870979,0.14742688299545748,1049.37073699,False,threshold
<k_toolKit.Toolkit object at 0x10f3159d0>,20_04_19__23_56_22_504748,9,BTC,USDT,Kucoin,HitBtc,0.0254103690937296,181.06031445,0.0699174469287993,497.32,7106.9,7102.06,0.0008,0.0007,7101.21448,7107.034924447114,-5.820444447113914,71.0121448,71.07034924447113,-0.05820444447113914,-0.05820444447113914,0.14742688299545748,1049.37073699,False,threshold
